index,Y,X,
0,1.346175008,103.960857,
1,1.389904019,103.978979,
2,1.409913016,103.923131,
3,1.379237005,103.866967,
4,1.372761003,103.829073,
5,1.320710015,103.951754,
6,1.34065899,103.955192,
7,1.366937017,103.881611,
8,1.390098002,103.834277,
9,1.381099011,103.861151,
10,1.353350016,103.863473,
11,1.360480011,103.866008,
12,1.387856976,103.863388,
13,1.38983501,103.837234,
14,1.390064987,103.838591,
15,1.333849008,103.946938,
16,1.371626001,103.832785,
17,1.323023001,103.919179,
18,1.345032012,103.884842,
19,1.366028984,103.877504,
20,1.360425013,103.865669,
21,1.369562983,103.892822,
22,1.388631003,103.838383,
23,1.361952005,103.966205,
24,1.359547029,103.968547,
25,1.378692011,103.832623,
26,1.355558014,103.884109,
27,1.348558987,103.862006,
28,1.319187992,103.948586,
29,1.385285989,103.837056,
30,1.383079989,103.866841,
31,1.357585001,103.867454,
32,1.370206987,103.865358,
33,1.315599016,103.924306,
34,1.385602002,103.873382,
35,1.35333802,103.880875,
36,1.302445014,103.862996,
37,1.350138,103.845965,
38,1.304896993,103.908132,
39,1.334434001,103.877337,
40,1.348953004,103.840365,
41,1.342621999,103.863115,
42,1.334280003,103.765763,
43,1.362119006,103.833535,
44,1.333437999,103.769989,
45,1.334739008,103.767247,
46,1.317551006,103.748696,
47,1.353198982,103.774033,
48,1.294938345,103.7928295,
49,1.33980401,103.71716,
50,1.351771995,103.701048,
51,1.370600005,103.764668,
52,1.358640009,103.759016,
53,1.355361008,103.761025,
54,1.326788002,103.766406,
55,1.336056618,103.731161,
56,1.301002038,103.7906345,
57,1.308750999,103.76476,
58,1.371359006,103.768925,
59,1.350204005,103.776007,
60,1.319766997,103.757976,
61,1.33982702,103.760905,
62,1.360420016,103.760959,
63,1.362712994,103.773908,
64,1.367634014,103.76883,
65,1.327695,103.764779,
66,1.372285989,103.751977,
67,1.315559997,103.75636,
68,1.360638981,103.758606,
69,1.305581227,103.7891622,
70,1.338017009,103.707876,
71,1.322503996,103.757668,
72,1.314253978,103.75845,
73,1.354237007,103.698636,
74,1.38954898,103.751411,
75,1.347543998,103.765472,
76,1.369270011,103.773357,
77,1.399749013,103.805724,
78,1.40003199,103.818446,
79,1.400870986,103.822384,
80,1.279877003,103.804834,
81,1.287617008,103.824027,
82,1.298934008,103.767617,
83,1.308994994,103.762027,
84,1.296153299,103.763,
85,1.299613028,103.7907213,
86,1.372245015,103.769495,
87,1.357409008,103.768537,
88,1.389138992,103.748433,
89,1.371635019,103.763645,
90,1.307808002,103.763606,
91,1.327945017,103.768868,
92,1.373215009,103.771884,
93,1.375890034,103.75724,
94,1.340072984,103.718594,
95,1.3061131,103.7880294,
96,1.337484986,103.692902,
97,1.357360984,103.75607,
98,1.357578001,103.760776,
99,1.364073012,103.881278,
100,1.352767004,103.861743,
101,1.450638017,103.829489,
102,1.444350989,103.733834,
103,1.461502986,103.836845,
104,1.399447988,103.884326,
105,1.405584127,103.822723,
106,1.410997022,103.904815,
107,1.42754499,103.826119,
108,1.401158977,103.8174687,
109,1.438805993,103.740057,
110,1.456222013,103.835674,
111,1.36002981,103.8269462,
112,1.376939012,103.898646,
113,1.409974,103.832171,
114,1.398038984,103.822322,
115,1.444170424,103.7820589,
116,1.427596994,103.839487,
117,1.41651199,103.759039,
118,1.427281004,103.825351,
