index,Y,X,
236,1.323805979,103.865835,
237,1.316234998,103.783106,
238,1.293089996,103.844915,
239,1.374025014,103.842887,
240,1.341395989,103.780895,
241,1.31455099,103.892397,
242,1.321207995,103.923838,
243,1.32311502,103.957616,
244,1.331702984,103.808987,
245,1.313763009,103.784206,
246,1.311502006,103.898952,
247,1.301587003,103.837611,
248,1.360928988,103.882129,
249,1.31173,103.795544,
250,1.287320006,103.853473,
251,1.308422003,103.854849,
252,1.288489996,103.860639,
253,1.335506016,103.805487,
254,1.272364992,103.802693,
255,1.283845008,103.829977,
256,1.322312979,103.842813,
257,1.336324018,103.764869,
258,1.309758997,103.854776,
259,1.343862985,103.77304,
260,1.300174003,103.897322,
261,1.314115017,103.780246,
262,1.328344008,103.810509,
263,1.322987012,103.827058,
264,1.292257993,103.845691,
265,1.333798002,103.881706,
266,1.290759993,103.831798,
267,1.331874009,103.875616,
268,1.321771988,103.887659,
269,1.291778004,103.846609,
270,1.38340099,104.001675,
271,1.329746017,103.950168,
272,1.385943002,103.858758,
273,1.383104999,103.86146,
274,1.347404006,103.963506,
275,1.337183986,103.956225,
276,1.39030102,103.855252,
277,1.38829201,103.837572,
278,1.378684022,103.952173,
279,1.363039002,103.965637,
280,1.308482998,103.919384,
281,1.329029004,103.946876,
282,1.379492003,103.875186,
283,1.38725001,103.838826,
284,1.325003012,103.914402,
285,1.324727987,103.949048,
286,1.399035028,103.873848,
287,1.326716006,103.807658,
288,1.32686098,103.782814,
289,1.304108993,103.862146,
290,1.299264003,103.843839,
291,1.330579994,103.847968,
292,1.292839996,103.834957,
293,1.315709015,103.781222,
294,1.35429099,103.834364,
295,1.312950986,103.78123,
296,1.298343008,103.845882,
297,1.304497996,103.847462,
298,1.305787006,103.866979,
299,1.286823994,103.851957,
300,1.275281008,103.818222,
301,1.303169006,103.920605,
302,1.322453001,103.950773,
303,1.344383007,103.960283,
304,1.367302019,103.889832,
305,1.371689995,103.952378,
306,1.327417001,103.953082,
307,1.32202599,103.7964,
308,1.361013983,103.830174,
309,1.324289989,103.805479,
310,1.351061996,103.844622,
311,1.348673983,103.843548,
312,1.350155996,103.835175,
313,1.337011004,103.78506,
314,1.377304974,103.805474,
315,1.329720994,103.87305,
316,1.311484011,103.858152,
317,1.295716995,103.848861,
318,1.31911,103.806056,
319,1.325451997,103.817666,
320,1.322288011,103.788076,
321,1.370971567,103.7808374,
322,1.281465007,103.847644,
323,1.372718013,103.839569,
324,1.388305972,103.85737,
325,1.372190016,103.941094,
326,1.321627004,103.948451,
327,1.313034992,103.917656,
328,1.359264023,103.944482,
329,1.391226001,103.987296,
330,1.371020982,103.832392,
331,1.32010101,103.924456,
332,1.388054016,103.836146,
333,1.323851998,103.950395,
334,1.348967012,103.883569,
335,1.385445983,103.877906,
336,1.378732994,103.945667,
337,1.380681008,103.837487,
338,1.363914991,103.94869,
339,1.384050001,103.86045,
340,1.385589014,103.865744,
341,1.390647001,103.988089,
342,1.319380003,103.927927,
343,1.346071008,103.884998,
344,1.367963662,103.8903645,
345,1.390172013,103.98919,
346,1.35519602,103.885955,
347,1.391640001,103.903736,
348,1.325534002,103.94749,
349,1.356556988,103.834035,
